"File","DeclaringType","Property","Kind","Line"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\Chart.cs","Chart","Legend","Property","39"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\Chart.cs","Chart","PlotArea","Property","32"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\ChartData.cs","ChartData","ExternalData","Property","25"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\ChartSpace.cs","ChartSpace","Chart","Property","32"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\ChartSpace.cs","ChartSpace","ChartData","Property","25"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\ChartSpace.cs","ChartSpace","ColorMappingType","Property","53"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\ChartSpace.cs","ChartSpace","ExtensionList","Property","74"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\ChartSpace.cs","ChartSpace","FormatOverrides","Property","60"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\ChartSpace.cs","ChartSpace","PrintSettings","Property","67"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\ChartSpace.cs","ChartSpace","ShapeProperties","Property","39"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\ChartSpace.cs","ChartSpace","TxPrTextBody","Property","46"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\ChartStringValue.cs","ChartStringValue","Index","Property","25"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\ChartTitle.cs","ChartTitle","Align","Property","33"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\ChartTitle.cs","ChartTitle","ExtensionList","Property","68"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\ChartTitle.cs","ChartTitle","Overlay","Property","40"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\ChartTitle.cs","ChartTitle","Pos","Property","26"
